Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
age,The age of the individual.,32,integer,int32,Yes,No,,
average_monthly_salary_1y,"The individual's average monthly salary for the last year.
",3402.88,number,float,Yes,Yes,,
average_monthly_salary_3y,"The individual's average monthly salary for the last three years.
",3402.88,number,float,Yes,Yes,,
average_monthly_salary_5y,"The individual's average monthly salary for the last five years.
",3402.88,number,float,Yes,Yes,,
base_salary_last,"The user's latest base salary. If `current_status` is `EMPLOYED`, this is the user's current base salary.
",42.17,number,float,Yes,Yes,,
collected_at,"The ISO-8601 timestamp when the data point was collected.
",2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
created_at,"The ISO-8601 timestamp of when the data point was created in Belvo's database.
",2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
current_employer_count,"The number of employers the individual has right now.
",1,integer,int32,Yes,Yes,,
current_status,"Indicates the employment status of the individual. We return one of the following responses:
  
  - `EMPLOYED`
  - `RETIRED`
  - `UNEMPLOYED`
  - `null`
",EMPLOYED,string,,Yes,No,"EMPLOYED, RETIRED, UNEMPLOYED, null",
decreases_1y,"The total number of salary decreases throughout the individual's last year (YTD).
",0,integer,int32,Yes,Yes,,
decreases_3y,"The total number of salary decreases throughout the individual's last three years.

> **Note:**
>
>  If the individual's working career is less than three years, we return `null`.
",,integer,int32,Yes,Yes,,
decreases_5y,"The total number of salary decreases throughout the individual's last five years.

> **Note:**
>
>  If the individual's working career is less than five years, we return `null`.
",,integer,int32,Yes,Yes,,
decreases_after_change,"The total number of salary decreases between the individual's penultimate job and the last (or current) job.
",0,integer,int32,Yes,Yes,,
decreases_last_job,"The total number of salary increases the user had in their last job. If `current_status` is `EMPLOYED`, this refers to the user's current job.
",0,integer,int32,Yes,Yes,,
decreases_overall,"The total number of salary decreases throughout the individual's working career.
",0,integer,int32,Yes,Yes,,
employer_count,"The total number of employers the user has had. Useful to indicate employment stability over the course of their lifetime.
",14,integer,int32,Yes,Yes,,
employers_per_year,"Number of employers per year. Useful to indicate employment stability over the course of a year.

> **Note:**
>
> If the user left one company and returned, for example, six months later to the same company, this is counted as one employer.
",0.6326,number,float,Yes,Yes,,
id,"Belvo's unique identifier for the current item.
",0d3ffb69-f83b-456e-ad8e-208d0998d71d,string,uuid,Yes,No,,
increases_1y,"The total number of salary increases throughout the individual's last year (YTD).
",0,integer,int32,Yes,Yes,,
increases_3y,"The total number of salary increases throughout the individual's last three years.

> **Note:**
>
>  If the individual's working career is less than three years, we return `null`.
",,integer,int32,Yes,Yes,,
increases_5y,"The total number of salary increases throughout the individual's last five years.

> **Note:**
>
>  If the individual's working career is less than five years, we return `null`.
",,integer,int32,Yes,Yes,,
increases_after_change,"The total number of salary increases between the individual's penultimate job and the last (or current) job.
",0,integer,int32,Yes,Yes,,
increases_last_job,"The total number of salary increases the user had in their last job. If `current_status` is `EMPLOYED`, this refers to the user's current job.

> **Note:**
>
> For all salary increases or decreases, we only take into account those where the change in salary is greater than 2%.
",0,integer,int32,Yes,Yes,,
increases_overall,"The total number of salary increases throughout the individual's working career.
",0,integer,int32,Yes,Yes,,
link,The `link.id` the data belongs to.,30cb4806-6e00-48a4-91c9-ca55968576c8,string,uuid,Yes,Yes,,
max_monthly_salary_1y,"The individual's maximum monthly salary for the last year.
",3402.88,number,float,Yes,Yes,,
max_monthly_salary_3y,"The individual's maximum monthly salary for the last three years.
",3402.88,number,float,Yes,Yes,,
max_monthly_salary_5y,"The individual's maximum monthly salary for the last five years.
",3402.88,number,float,Yes,Yes,,
max_weeks_between_jobs,"The maximum number of weeks that the individual was unemployed.
",249.8571,number,float,Yes,Yes,,
min_monthly_salary_1y,"The individual's minimum monthly salary for the last year.
",3402.88,number,float,Yes,Yes,,
min_monthly_salary_3y,"The individual's minimum monthly salary for the last three years.
",3402.88,number,float,Yes,Yes,,
min_monthly_salary_5y,"The individual's minimum monthly salary for the last five years.
",3402.88,number,float,Yes,Yes,,
reference_date,"The reference_date your provided in your request. If you didn't provide one, this field will return `null`, indicating that the calculations are performed up until the date of the request.

**Note:** All calculations are relative to this date.
",2023-06-01,string,date,Yes,Yes,,
unique_employer_count,"The number of unique employers that the individual has had.

> **Note:**
>
> If the user left one company and returned, for example, six months later to the same company, this is counted as one employer.
",3,integer,int32,Yes,Yes,,
updated_at,"The ISO-8601 timestamp of when the employment metrics calculation was last updated.
",2023-08-30T15:31:35.728607Z,string,date-time,Yes,Yes,,
weeks_between_jobs,"The total number of weeks the individual was unemployed.
",687.2865,number,float,Yes,Yes,,
weeks_employed_last_job,"The number of weeks the user was employed in their last job. If `current_status` is `EMPLOYED`, then this field indicates the number of weeks the user has been employed with his current job.
",327.1429,number,float,Yes,Yes,,
weeks_employed_total,"The total number of weeks the user has been employed, according to the institution.

> **Note:**
>
> In the case that the user is employed at two or more places at the same time, we still calculate those weeks as one week. For example, if a user has three concurrent jobs for a month, this is calculated as 4 weeks.
",148.2,number,float,Yes,Yes,,
weeks_since_last_job,"The number of weeks since their last job. If the value of this field is `0`, this indicates that the user is currently employed.
",0,number,float,Yes,Yes,,
weeks_with_multiple_employers,"The number of the weeks that the individual has had more than one employer at the same time.
",0,number,float,Yes,Yes,,
yearly_change_1y,"The individual's salary percentage change for the last year (YTD).
",0,number,float,Yes,Yes,,
yearly_change_3y,"The individual's salary percentage change for the last three years.

> **Note:**
>
>  If the individual's working career is less than three years, we return `null`.
",,number,float,Yes,Yes,,
yearly_change_5y,"The individual's salary percentage change for the last five years.

> **Note:**
>
>  If the individual's working career is less than five years, we return `null`.
",,number,float,Yes,Yes,,
